layer,tokens,time_us
act_fn,1,6.21867
act_fn,2,6.98667
act_fn,3,7.072
act_fn,4,7.00767
act_fn,5,7.01867
act_fn,6,6.99733
act_fn,7,7.04
act_fn,8,7.168
act_fn,9,7.12533
act_fn,10,7.09333
act_fn,11,7.09333
act_fn,12,7.168
act_fn,13,7.18933
act_fn,14,7.2
act_fn,15,7.232
act_fn,16,7.23233
act_fn,20,7.59467
act_fn,24,8.032
act_fn,28,8.62933
act_fn,32,9.387
act_fn,36,10.016
act_fn,40,10.56
act_fn,44,11.3387
act_fn,48,12.384
act_fn,52,13.504
act_fn,56,15.029
act_fn,60,15.9783
act_fn,64,18.3573
act_fn,80,22.464
act_fn,96,28.3303
act_fn,112,32.6077
act_fn,128,37.7493
act_fn,144,42.0263
act_fn,160,47.3387
act_fn,176,52.9067
act_fn,192,59.0823
act_fn,208,62.912
act_fn,224,67.9783
act_fn,240,73.1833
act_fn,256,79.0397
act_fn,272,85.8873
act_fn,288,90.656
act_fn,304,95.0293
act_fn,320,99.36
act_fn,336,105.195
act_fn,352,109.963
act_fn,368,114.912
act_fn,384,119.584
act_fn,400,122.484
act_fn,416,127.328
act_fn,432,134.251
act_fn,448,138.539
act_fn,464,143.381
act_fn,480,148.213
act_fn,496,152.714
act_fn,512,157.994
act_fn,528,159.221
act_fn,544,163.861
act_fn,560,170.549
act_fn,576,174.24
act_fn,592,179.701
act_fn,608,186.037
act_fn,624,190.283
act_fn,640,194.56
act_fn,656,201.664
act_fn,672,206.624
act_fn,688,211.776
act_fn,704,215.498
act_fn,720,220.811
act_fn,736,226.165
act_fn,752,230.912
act_fn,768,237.13
act_fn,784,238.901
act_fn,800,244.394
act_fn,816,250.699
act_fn,832,253.589
act_fn,848,258.922
act_fn,864,264.917
act_fn,880,269.323
act_fn,896,274.218
act_fn,912,276.81
act_fn,928,280.746
act_fn,944,285.908
act_fn,960,290.922
act_fn,976,295.338
act_fn,992,299.946
act_fn,1008,306.869
act_fn,1024,310.752
act_fn,1040,318.41
act_fn,1056,322.517
act_fn,1072,328.117
act_fn,1088,332.075
act_fn,1104,336.714
act_fn,1120,341.045
act_fn,1136,347.199
