prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.6083
0,0,1,32,12.608
0,0,1,64,12.725
0,0,1,128,18.069
0,0,1,256,18.517
0,0,1,512,19.7223
0,0,1,1024,25.8453
0,0,1,2048,32.7783
0,0,1,4096,48.6933
0,0,1,8192,72.5217
0,0,1,16384,120.916
0,0,2,16,18.24
0,0,2,32,18.2613
0,0,2,64,18.4853
0,0,2,128,22.208
0,0,2,256,23.1033
0,0,2,512,29.739
0,0,2,1024,38.2823
0,0,2,2048,51.8717
0,0,2,4096,80.6497
0,0,2,8192,123.316
0,0,2,16384,215.71
0,0,4,16,18.3683
0,0,4,32,18.4643
0,0,4,64,18.8793
0,0,4,128,23.1677
0,0,4,256,29.5577
0,0,4,512,38.2077
0,0,4,1024,49.8133
0,0,4,2048,73.653
0,0,4,4096,122.452
0,0,4,8192,217.641
0,0,4,16384,405.777
0,0,8,16,19.0297
0,0,8,32,19.4663
0,0,8,64,20.2453
0,0,8,128,30.453
0,0,8,256,39.3383
0,0,8,512,51.616
0,0,8,1024,74.9213
0,0,8,2048,121.172
0,0,8,4096,215.016
0,0,8,8192,404.317
0,0,8,16384,781.017
0,0,16,16,25.2267
0,0,16,32,25.803
0,0,16,64,27.3917
0,0,16,128,36.3413
0,0,16,256,49.9623
0,0,16,512,74.442
0,0,16,1024,122.559
0,0,16,2048,214.942
0,0,16,4096,406.705
0,0,16,8192,780.995
0,0,16,16384,1537.36
0,0,32,16,37.013
0,0,32,32,38.2183
0,0,32,64,41.2587
0,0,32,128,57.6957
0,0,32,256,82.1853
0,0,32,512,132.393
0,0,32,1024,225.47
0,0,32,2048,411.004
0,0,32,4096,787.929
0,0,32,8192,1539.63
0,0,32,16384,3068.25
0,0,64,16,61.0337
0,0,64,32,62.8903
0,0,64,64,66.6127
0,0,64,128,96.8637
0,0,64,256,146.505
0,0,64,512,238.824
0,0,64,1024,423.398
0,0,64,2048,801.358
0,0,64,4096,1565.49
0,0,64,8192,3074.25
0,0,64,16384,6102.65
0,0,128,16,111.594
0,0,128,32,113.448
0,0,128,64,118.335
0,0,128,128,178.718
0,0,128,256,257.086
0,0,128,512,441.799
0,0,128,1024,812.485
0,0,128,2048,1570.22
0,0,128,4096,3086.33
0,0,128,8192,6130.81
0,0,128,16384,12159.9
0,0,256,16,209.363
0,0,256,32,212.991
0,0,256,64,224.682
0,0,256,128,338.941
0,0,256,256,483.697
0,0,256,512,845.775
0,0,256,1024,1590.65
0,0,256,2048,3106.01
0,0,256,4096,6115.58
0,0,256,8192,12158.8
0,0,256,16384,24232.1
