layer,sequences,time_us
lm_head,1,779.161
lm_head,2,746.553
lm_head,3,748.173
lm_head,4,747.844
lm_head,5,749.113
lm_head,6,750.126
lm_head,7,750.839
lm_head,8,752.004
lm_head,9,751.811
lm_head,10,752.504
lm_head,11,753.261
lm_head,12,754.189
lm_head,13,753.688
lm_head,14,754.617
lm_head,15,755.811
lm_head,16,756.355
lm_head,20,766.425
lm_head,24,764.366
lm_head,28,767.534
lm_head,32,768.196
lm_head,36,770.691
lm_head,40,768.303
lm_head,44,768.163
lm_head,48,773.732
lm_head,52,774.212
lm_head,56,775.299
lm_head,60,776.483
lm_head,64,779.396
lm_head,80,797.829
lm_head,96,822.704
lm_head,112,821.328
lm_head,128,823.355
lm_head,144,1316.19
lm_head,160,1334.63
lm_head,176,1344.09
lm_head,192,1215.65
lm_head,208,1502.66
lm_head,224,1305.16
lm_head,240,1307.03
lm_head,256,1310.27
sampler,1,38.3467
sampler,2,39.8183
sampler,3,40.0853
sampler,4,42.112
sampler,5,42.2393
sampler,6,42.986
sampler,7,44.8957
sampler,8,44.8427
sampler,9,47.3807
sampler,10,54.1863
sampler,11,56.4157
sampler,12,57.0553
sampler,13,59.7757
sampler,14,60.5113
sampler,15,61.7803
sampler,16,63.8287
sampler,20,68.9917
sampler,24,73.4283
sampler,28,80.714
sampler,32,85.247
sampler,36,90.6973
sampler,40,98.047
sampler,44,103.124
sampler,48,109.14
sampler,52,115.839
sampler,56,123.903
sampler,60,130.015
sampler,64,136.234
sampler,80,169.907
sampler,96,199.549
sampler,112,230.014
sampler,128,260.776
sampler,144,292.925
sampler,160,324.286
sampler,176,353.896
sampler,192,385.906
sampler,208,451.846
sampler,224,479.078
sampler,240,504.316
sampler,256,525.136
