layer,tokens,time_us
act_fn,1,2.59233
act_fn,2,2.54933
act_fn,3,2.496
act_fn,4,2.48533
act_fn,5,2.528
act_fn,6,2.528
act_fn,7,2.50667
act_fn,8,2.496
act_fn,9,2.50667
act_fn,10,2.485
act_fn,11,2.528
act_fn,12,2.48533
act_fn,13,2.57033
act_fn,14,2.50667
act_fn,15,2.539
act_fn,16,2.53833
act_fn,20,2.688
act_fn,24,2.73067
act_fn,28,2.74133
act_fn,32,2.79467
act_fn,36,2.74133
act_fn,40,2.78367
act_fn,44,2.80533
act_fn,48,2.85833
act_fn,52,2.624
act_fn,56,2.613
act_fn,60,2.63467
act_fn,64,2.656
act_fn,80,4.01067
act_fn,96,4.08533
act_fn,112,4.02133
act_fn,128,3.67967
act_fn,144,5.29
act_fn,160,5.29
act_fn,176,5.41833
act_fn,192,4.352
act_fn,208,6.62333
act_fn,224,6.53867
act_fn,240,7.08267
act_fn,256,7.125
act_fn,272,8.14933
act_fn,288,8.54367
act_fn,304,9.34367
act_fn,320,8.309
act_fn,336,9.76
act_fn,352,10.303
act_fn,368,11.317
act_fn,384,12.223
act_fn,400,11.1357
act_fn,416,11.4337
act_fn,432,12.1383
act_fn,448,12.8743
act_fn,464,12.565
act_fn,480,13.4183
act_fn,496,14.4533
act_fn,512,15.6477
act_fn,528,14.3673
act_fn,544,15.1997
act_fn,560,16.3087
act_fn,576,18.197
act_fn,592,16.4793
act_fn,608,17.119
act_fn,624,18.0047
act_fn,640,19.157
act_fn,656,18.421
act_fn,672,19.146
act_fn,688,20.1277
act_fn,704,22.783
act_fn,720,20.554
act_fn,736,21.2473
act_fn,752,22.2503
act_fn,768,24.383
act_fn,784,22.4747
act_fn,800,23.4447
act_fn,816,24.223
act_fn,832,26.559
act_fn,848,24.33
act_fn,864,26.6987
act_fn,880,28.6927
act_fn,896,28.9697
act_fn,912,26.2497
act_fn,928,29.0873
act_fn,944,30.7403
act_fn,960,32.575
act_fn,976,28.4687
act_fn,992,30.943
act_fn,1008,32.7247
act_fn,1024,33.322
act_fn,1040,30.7513
act_fn,1056,33.0017
act_fn,1072,34.6977
act_fn,1088,36.4683
act_fn,1104,32.8737
act_fn,1120,35.039
act_fn,1136,36.9163
act_fn,1152,38.2173
act_fn,1168,34.9963
act_fn,1184,37.1297
act_fn,1200,38.6443
act_fn,1216,39.007
act_fn,1232,37.268
act_fn,1248,39.199
act_fn,1264,40.7137
act_fn,1280,42.356
act_fn,1296,39.103
act_fn,1312,41.0763
act_fn,1328,42.8683
act_fn,1344,43.2737
act_fn,1360,41.1403
act_fn,1376,43.5723
act_fn,1392,44.6177
act_fn,1408,46.1857
act_fn,1424,43.2947
act_fn,1440,45.0977
act_fn,1456,46.9537
act_fn,1472,47.071
act_fn,1488,45.1617
act_fn,1504,47.2093
act_fn,1520,48.7137
act_fn,1536,50.783
act_fn,1552,47.1027
act_fn,1568,49.4707
act_fn,1584,50.6657
act_fn,1600,51.668
act_fn,1616,49.0333
act_fn,1632,51.231
act_fn,1648,52.9263
act_fn,1664,53.8763
act_fn,1680,51.124
act_fn,1696,53.1937
act_fn,1712,55.092
act_fn,1728,55.625
act_fn,1744,53.492
act_fn,1760,55.273
act_fn,1776,56.841
act_fn,1792,57.14
act_fn,1808,55.3373
act_fn,1824,57.31
act_fn,1840,58.676
act_fn,1856,60.4037
act_fn,1872,57.3207
act_fn,1888,59.0597
act_fn,1904,60.9587
act_fn,1920,61.2357
act_fn,1936,59.092
act_fn,1952,61.1823
act_fn,1968,62.9957
act_fn,1984,64.5743
act_fn,2000,61.2997
act_fn,2016,63.4433
act_fn,2032,64.862
act_fn,2048,65.545
down_proj,1,27.4443
down_proj,2,27.4657
down_proj,3,27.583
down_proj,4,27.455
down_proj,5,27.6577
down_proj,6,27.6473
down_proj,7,27.6043
down_proj,8,27.6577
down_proj,9,27.21
down_proj,10,27.2633
down_proj,11,27.455
down_proj,12,27.562
down_proj,13,27.5303
down_proj,14,27.5513
down_proj,15,27.5837
down_proj,16,27.5297
down_proj,20,28.1163
down_proj,24,28.2763
down_proj,28,28.6177
down_proj,32,28.9377
down_proj,36,30.911
down_proj,40,30.719
down_proj,44,30.8047
down_proj,48,31.615
down_proj,52,34.847
down_proj,56,34.5697
down_proj,60,35.167
down_proj,64,40.6603
down_proj,80,65.7687
down_proj,96,63.764
down_proj,112,68.8087
down_proj,128,53.62
down_proj,144,84.2753
down_proj,160,84.2113
down_proj,176,86.4183
down_proj,192,90.6537
down_proj,208,120.648
down_proj,224,121.618
down_proj,240,125.48
down_proj,256,86.952
down_proj,272,117.917
down_proj,288,117.17
down_proj,304,121.032
down_proj,320,149.372
down_proj,336,177.84
down_proj,352,176.188
down_proj,368,179.11
down_proj,384,135.985
down_proj,400,168.358
down_proj,416,166.982
down_proj,432,169.083
down_proj,448,175.472
down_proj,464,204.571
down_proj,480,203.482
down_proj,496,208.154
down_proj,512,170.417
down_proj,528,202.064
down_proj,544,200.752
down_proj,560,204.613
down_proj,576,233.113
down_proj,592,261.401
down_proj,608,261.902
down_proj,624,266.244
down_proj,640,218.575
down_proj,656,249.785
down_proj,672,249.806
down_proj,688,252.1
down_proj,704,257.7
down_proj,720,287.758
down_proj,736,291.427
down_proj,752,291.235
down_proj,768,252.975
down_proj,784,284.088
down_proj,800,284.398
down_proj,816,285.827
down_proj,832,314.115
down_proj,848,347.084
down_proj,864,346.06
down_proj,880,350.412
down_proj,896,301.368
down_proj,912,332.834
down_proj,928,331.821
down_proj,944,334.103
down_proj,960,342.114
down_proj,976,370.283
down_proj,992,372.62
down_proj,1008,375.819
down_proj,1024,335.489
down_proj,1040,366.55
down_proj,1056,366.923
down_proj,1072,369.227
down_proj,1088,398.464
down_proj,1104,429.502
down_proj,1120,427.572
down_proj,1136,431.903
down_proj,1152,382.912
down_proj,1168,414.645
down_proj,1184,413.237
down_proj,1200,416.245
down_proj,1216,422.74
down_proj,1232,453.225
down_proj,1248,454.579
down_proj,1264,457.79
down_proj,1280,418.026
down_proj,1296,448.66
down_proj,1312,448.67
down_proj,1328,452.329
down_proj,1344,477.949
down_proj,1360,510.589
down_proj,1376,507.229
down_proj,1392,510.599
down_proj,1408,465.556
down_proj,1424,497.16
down_proj,1440,496.766
down_proj,1456,497.619
down_proj,1472,506.099
down_proj,1488,537.799
down_proj,1504,536.38
down_proj,1520,537.777
down_proj,1536,500.69
down_proj,1552,530.962
down_proj,1568,530.289
down_proj,1584,533.276
down_proj,1600,561.831
down_proj,1616,594.31
down_proj,1632,591.227
down_proj,1648,592.421
down_proj,1664,547.196
down_proj,1680,577.936
down_proj,1696,577.627
down_proj,1712,580.827
down_proj,1728,586.736
down_proj,1744,617.423
down_proj,1760,617.669
down_proj,1776,622.564
down_proj,1792,582.427
down_proj,1808,612.954
down_proj,1824,612.443
down_proj,1840,615.45
down_proj,1856,641.615
down_proj,1872,672.984
down_proj,1888,672.91
down_proj,1904,673.924
down_proj,1920,629.433
down_proj,1936,660.633
down_proj,1952,660.771
down_proj,1968,662.734
down_proj,1984,666.222
down_proj,2000,701.218
down_proj,2016,697.08
down_proj,2032,701.442
down_proj,2048,664.025
embedding,1,4.36267
embedding,2,4.61867
embedding,3,4.87467
embedding,4,5.131
embedding,5,5.504
embedding,6,5.76
embedding,7,6.00467
embedding,8,6.13333
embedding,9,6.656
embedding,10,6.86933
embedding,11,7.17833
embedding,12,7.413
embedding,13,7.776
embedding,14,8.04233
embedding,15,8.31933
embedding,16,8.39433
embedding,20,3.755
embedding,24,3.65833
embedding,28,3.851
embedding,32,3.744
embedding,36,3.96767
embedding,40,3.84
embedding,44,4.04233
embedding,48,3.95733
embedding,52,4.149
embedding,56,4.032
embedding,60,4.235
embedding,64,4.106
embedding,80,4.128
embedding,96,4.096
embedding,112,4.24533
embedding,128,4.405
embedding,144,4.768
embedding,160,4.74667
embedding,176,4.87467
embedding,192,4.90633
embedding,208,5.301
embedding,224,5.39733
embedding,240,5.536
embedding,256,5.55667
embedding,272,5.96267
embedding,288,6.02667
embedding,304,6.07933
embedding,320,6.144
embedding,336,6.32533
embedding,352,6.45333
embedding,368,6.613
embedding,384,6.82667
embedding,400,7.08233
embedding,416,7.23167
embedding,432,7.34933
embedding,448,7.43467
embedding,464,7.456
embedding,480,7.61533
embedding,496,7.67967
embedding,512,7.72267
embedding,528,7.80767
embedding,544,7.872
embedding,560,7.85067
embedding,576,7.96733
embedding,592,8.01033
embedding,608,8.24533
embedding,624,8.20233
embedding,640,8.29867
embedding,656,8.55467
embedding,672,8.88533
embedding,688,8.91733
embedding,704,8.96
