prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.8397
0,0,1,32,11.9143
0,0,1,64,11.904
0,0,1,128,17.0667
0,0,1,256,17.387
0,0,1,512,17.792
0,0,1,1024,18.592
0,0,1,2048,20.16
0,0,1,4096,23.829
0,0,1,8192,34.593
0,0,1,16384,40.6513
0,0,2,16,14.6137
0,0,2,32,14.6133
0,0,2,64,14.688
0,0,2,128,19.755
0,0,2,256,20.1173
0,0,2,512,20.4693
0,0,2,1024,21.44
0,0,2,2048,23.6907
0,0,2,4096,31.5737
0,0,2,8192,37.984
0,0,2,16384,57.526
0,0,4,16,14.539
0,0,4,32,14.5817
0,0,4,64,14.614
0,0,4,128,19.8077
0,0,4,256,20.0957
0,0,4,512,20.7147
0,0,4,1024,22.1757
0,0,4,2048,29.067
0,0,4,4096,36.384
0,0,4,8192,52.7907
0,0,4,16384,79.7137
0,0,8,16,14.336
0,0,8,32,14.379
0,0,8,64,14.4327
0,0,8,128,19.734
0,0,8,256,20.107
0,0,8,512,21.355
0,0,8,1024,27.2753
0,0,8,2048,34.5597
0,0,8,4096,51.0943
0,0,8,8192,75.211
0,0,8,16384,123.851
0,0,16,16,14.3153
0,0,16,32,14.3253
0,0,16,64,14.5387
0,0,16,128,20.1063
0,0,16,256,20.9177
0,0,16,512,27.253
0,0,16,1024,36.5017
0,0,16,2048,50.337
0,0,16,4096,80.449
0,0,16,8192,123.66
0,0,16,16384,216.525
0,0,32,16,14.528
0,0,32,32,14.7733
0,0,32,64,15.2957
0,0,32,128,21.0453
0,0,32,256,27.5307
0,0,32,512,36.0643
0,0,32,1024,50.944
0,0,32,2048,75.456
0,0,32,4096,122.977
0,0,32,8192,216.93
0,0,32,16384,409.4
0,0,64,16,15.1153
0,0,64,32,15.5843
0,0,64,64,16.6297
0,0,64,128,28.9497
0,0,64,256,37.5683
0,0,64,512,50.6677
0,0,64,1024,75.1483
0,0,64,2048,123.446
0,0,64,4096,217.347
0,0,64,8192,407.352
0,0,64,16384,789.894
0,0,128,16,21.9107
0,0,128,32,22.6887
0,0,128,64,24.3523
0,0,128,128,33.8137
0,0,128,256,47.9903
0,0,128,512,72.8963
0,0,128,1024,120.364
0,0,128,2048,216.226
0,0,128,4096,403.716
0,0,128,8192,783.494
0,0,128,16384,1542.83
0,0,256,16,35.5417
0,0,256,32,36.716
0,0,256,64,39.5957
0,0,256,128,57.888
0,0,256,256,81.601
0,0,256,512,130.06
0,0,256,1024,223.607
0,0,256,2048,414.915
0,0,256,4096,788.882
0,0,256,8192,1540.1
0,0,256,16384,3050.8
16,0,0,0,11.7337
16,0,1,16,11.7867
16,0,1,32,11.7867
16,0,1,64,11.8187
16,0,1,128,14.3573
16,0,1,256,17.92
16,0,1,512,24.9593
16,0,1,1024,39.4347
16,0,1,2048,68.811
16,0,1,4096,127.393
16,0,1,8192,245.751
16,0,1,16384,482.148
16,0,2,16,11.563
16,0,2,32,11.424
16,0,2,64,11.5097
16,0,2,128,14.4107
16,0,2,256,17.984
16,0,2,512,25.067
16,0,2,1024,39.8513
16,0,2,2048,69.462
16,0,2,4096,128.62
16,0,2,8192,246.36
16,0,2,16384,484.334
16,0,4,16,11.7117
16,0,4,32,11.7227
16,0,4,64,11.691
16,0,4,128,14.5283
16,0,4,256,18.144
16,0,4,512,25.2587
16,0,4,1024,40.1387
16,0,4,2048,70.678
16,0,4,4096,130.508
16,0,4,8192,249.303
16,0,4,16384,485.646
16,0,8,16,11.68
16,0,8,32,11.6693
16,0,8,64,11.7013
16,0,8,128,14.6667
16,0,8,256,18.2507
16,0,8,512,25.6423
16,0,8,1024,40.9707
16,0,8,2048,71.393
16,0,8,4096,131.404
16,0,8,8192,249.879
16,0,8,16384,487.791
16,0,16,16,17.4827
16,0,16,32,17.6857
