layer,tokens,time_us
act_fn,1,2.496
act_fn,2,2.50667
act_fn,3,2.432
act_fn,4,2.45333
act_fn,5,2.46467
act_fn,6,2.48533
act_fn,7,2.464
act_fn,8,2.44267
act_fn,9,2.464
act_fn,10,2.45333
act_fn,11,2.47467
act_fn,12,2.43233
act_fn,13,2.464
act_fn,14,2.45333
act_fn,15,2.507
act_fn,16,2.517
act_fn,20,2.304
act_fn,24,2.31467
act_fn,28,2.32533
act_fn,32,2.32533
act_fn,36,2.41067
act_fn,40,2.38933
act_fn,44,2.44267
act_fn,48,2.42133
act_fn,52,2.42133
act_fn,56,2.496
act_fn,60,2.50667
act_fn,64,2.48533
act_fn,80,3.01867
act_fn,96,3.083
act_fn,112,3.08267
act_fn,128,2.89067
act_fn,144,3.915
act_fn,160,3.86133
act_fn,176,3.979
act_fn,192,3.34933
act_fn,208,4.59767
act_fn,224,4.629
act_fn,240,4.61833
act_fn,256,3.36
act_fn,272,5.18333
act_fn,288,5.291
act_fn,304,5.25867
act_fn,320,4.02133
act_fn,336,5.93067
act_fn,352,5.90933
act_fn,368,5.86667
act_fn,384,4.33067
act_fn,400,6.45333
act_fn,416,6.57067
act_fn,432,6.624
act_fn,448,7.424
act_fn,464,7.25367
act_fn,480,7.26367
act_fn,496,7.296
act_fn,512,7.54133
act_fn,528,7.904
act_fn,544,8.06433
act_fn,560,8.03233
act_fn,576,7.14667
act_fn,592,8.8
act_fn,608,8.71467
act_fn,624,8.992
act_fn,640,8.032
act_fn,656,9.408
act_fn,672,9.60033
act_fn,688,9.68533
act_fn,704,11.296
act_fn,720,10.272
act_fn,736,10.4323
act_fn,752,10.507
act_fn,768,12.0537
act_fn,784,10.976
act_fn,800,11.1577
act_fn,816,11.307
act_fn,832,12.2027
act_fn,848,11.7973
act_fn,864,12.0213
act_fn,880,12.3413
act_fn,896,12.5443
act_fn,912,12.6937
act_fn,928,12.939
act_fn,944,13.1947
act_fn,960,14.1013
act_fn,976,13.3867
act_fn,992,13.9097
act_fn,1008,14.0057
act_fn,1024,17.0987
act_fn,1040,14.4323
act_fn,1056,14.688
act_fn,1072,15.2537
act_fn,1088,17.6
act_fn,1104,15.4563
act_fn,1120,15.8723
act_fn,1136,15.9257
act_fn,1152,18.176
act_fn,1168,15.915
act_fn,1184,16.7147
act_fn,1200,17.547
act_fn,1216,18.8693
act_fn,1232,17.3017
act_fn,1248,17.8027
act_fn,1264,18.7307
act_fn,1280,21.088
act_fn,1296,18.3367
