layer,sequences,time_us
lm_head,1,195.309
lm_head,2,193.506
lm_head,3,193.879
lm_head,4,194.934
lm_head,5,195.031
lm_head,6,195.746
lm_head,7,195.885
lm_head,8,195.681
lm_head,9,195.18
lm_head,10,194.7
lm_head,11,195.628
lm_head,12,195.82
lm_head,13,195.521
lm_head,14,195.511
lm_head,15,195.437
lm_head,16,196.354
lm_head,20,214.775
lm_head,24,200.845
lm_head,28,210.508
lm_head,32,212.279
lm_head,36,214.615
lm_head,40,199.831
lm_head,44,202.327
lm_head,48,204.663
lm_head,52,206.125
lm_head,56,200.482
lm_head,60,200.717
lm_head,64,201.74
lm_head,80,220.236
lm_head,96,221.708
lm_head,112,224.845
lm_head,128,224.834
lm_head,144,300.771
lm_head,160,302.808
lm_head,176,304.387
lm_head,192,337.699
lm_head,208,339.726
lm_head,224,341.912
lm_head,240,343.864
lm_head,256,345.251
sampler,1,38.3467
sampler,2,39.8183
sampler,3,40.0853
sampler,4,42.112
sampler,5,42.2393
sampler,6,42.986
sampler,7,44.8957
sampler,8,44.8427
sampler,9,47.3807
sampler,10,54.1863
sampler,11,56.4157
sampler,12,57.0553
sampler,13,59.7757
sampler,14,60.5113
sampler,15,61.7803
sampler,16,63.8287
sampler,20,68.9917
sampler,24,73.4283
sampler,28,80.714
sampler,32,85.247
sampler,36,90.6973
sampler,40,98.047
sampler,44,103.124
sampler,48,109.14
sampler,52,115.839
sampler,56,123.903
sampler,60,130.015
sampler,64,136.234
sampler,80,169.907
sampler,96,199.549
sampler,112,230.014
sampler,128,260.776
sampler,144,292.925
sampler,160,324.286
sampler,176,353.896
sampler,192,385.906
sampler,208,451.846
sampler,224,479.078
sampler,240,504.316
sampler,256,525.136
