pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0074,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.041,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0069,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0016,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0605,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0035,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.012,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0207,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0134,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0043,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0569,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0065,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0189,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1235,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0113,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.2369,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.2664,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2291,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.189,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.2506,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.2005,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.3334,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.3819,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.3449,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.2239,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2286,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.1905,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.091,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,-0.2261,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.344,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0002,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0467,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0019,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0011,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0745,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0017,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0009,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0083,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0018,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0043,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0608,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0048,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0051,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1406,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0082,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1217,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1455,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1225,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.109,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0972,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0759,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.1233,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1318,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1335,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.1452,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.0088,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.1226,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.1654,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.3288,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.1573,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0192,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.0271,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0022,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0211,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.2108,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.0138,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.2235,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.3247,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.4321,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0454,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0536,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0436,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0226,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0564,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0205,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0495,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0318,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0521,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0075,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.0222,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0092,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0294,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1003,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0012,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0986,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0598,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0603,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0503,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0524,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0179,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0022,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.0801,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.003,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.236,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.1513,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2051,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0007,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0004,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0008,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0293,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0247,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0267,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0327,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.026,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.032,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.002,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0012,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0011,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0016,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0007,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0016,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0014,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0011,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0013,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0016,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0015,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0011,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0622,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0587,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.063,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0636,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0614,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0663,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0012,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0013,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0009,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0009,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0004,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0007,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0023,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0023,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0021,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0022,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0054,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0029,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0035,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0055,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.001,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.008,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0026,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0026,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0014,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0027,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0014,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0032,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0038,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.003,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0023,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0034,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0001,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0037,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0816,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0789,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0778,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0849,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0693,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.0919,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0032,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0023,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0041,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0027,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.007,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0046,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0046,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.005,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0003,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0013,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0026,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.0022,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.0566,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.0614,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.0812,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.0653,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.0988,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.056,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.0019,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.0036,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.0071,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0039,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0002,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0019,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1167,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1005,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0573,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1343,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0098,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1085,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0485,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0698,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0675,4
