prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.4267
0,0,1,32,12.5547
0,0,1,64,12.608
0,0,1,128,17.888
0,0,1,256,18.144
0,0,1,512,18.827
0,0,1,1024,20.2773
0,0,1,2048,27.2213
0,0,1,4096,33.6
0,0,1,8192,50.0907
0,0,1,16384,75.968
0,0,2,16,18.2613
0,0,2,32,18.272
0,0,2,64,18.464
0,0,2,128,22.112
0,0,2,256,22.4423
0,0,2,512,23.616
0,0,2,1024,29.504
0,0,2,2048,36.288
0,0,2,4096,51.5307
0,0,2,8192,74.5817
0,0,2,16384,122.965
0,0,4,16,18.1443
0,0,4,32,18.1657
0,0,4,64,18.421
0,0,4,128,22.3683
0,0,4,256,23.147
0,0,4,512,29.408
0,0,4,1024,37.7067
0,0,4,2048,50.5063
0,0,4,4096,79.6587
0,0,4,8192,123.243
0,0,4,16384,217.27
0,0,8,16,18.346
0,0,8,32,18.5067
0,0,8,64,18.9753
0,0,8,128,23.061
0,0,8,256,29.5573
0,0,8,512,37.6957
0,0,8,1024,49.6747
0,0,8,2048,73.6213
0,0,8,4096,120.896
0,0,8,8192,215.318
0,0,8,16384,402.955
0,0,16,16,19.0933
0,0,16,32,19.5413
0,0,16,64,20.2997
0,0,16,128,30.7627
0,0,16,256,39.1253
0,0,16,512,50.571
0,0,16,1024,74.304
0,0,16,2048,121.643
0,0,16,4096,215.339
0,0,16,8192,405.003
0,0,16,16384,783.053
0,0,32,16,25.3023
0,0,32,32,25.9093
0,0,32,64,27.2217
0,0,32,128,36.1597
0,0,32,256,50.752
0,0,32,512,76.608
0,0,32,1024,121.056
0,0,32,2048,215.413
0,0,32,4096,405.302
0,0,32,8192,780.781
0,0,32,16384,1534.93
0,0,64,16,37.056
0,0,64,32,37.7917
0,0,64,64,40.875
0,0,64,128,57.77
0,0,64,256,82.688
0,0,64,512,132.107
0,0,64,1024,224.597
0,0,64,2048,413.686
0,0,64,4096,790.765
0,0,64,8192,1547.43
0,0,64,16384,3056.75
0,0,128,16,61.8667
0,0,128,32,63.6267
0,0,128,64,67.6803
0,0,128,128,100.524
0,0,128,256,143.723
0,0,128,512,237.942
0,0,128,1024,423.831
0,0,128,2048,799.672
0,0,128,4096,1559.64
0,0,128,8192,3118.93
0,0,128,16384,6119.09
0,0,256,16,115.104
0,0,256,32,117.611
0,0,256,64,123.563
0,0,256,128,183.061
0,0,256,256,261.654
0,0,256,512,444.577
0,0,256,1024,820.834
0,0,256,2048,1568.87
0,0,256,4096,3097.51
0,0,256,8192,6141.11
0,0,256,16384,12176
16,0,0,0,12.672
16,0,1,16,12.896
16,0,1,32,12.7993
16,0,1,64,12.8537
16,0,1,128,15.3817
16,0,1,256,19.0613
16,0,1,512,26.3893
16,0,1,1024,41.184
16,0,1,2048,70.7093
16,0,1,4096,130.272
16,0,1,8192,248.267
16,0,1,16384,483.862
16,0,2,16,12.9387
16,0,2,32,12.928
16,0,2,64,12.96
16,0,2,128,15.5733
16,0,2,256,19.2637
16,0,2,512,26.8163
16,0,2,1024,41.8773
16,0,2,2048,72.2457
16,0,2,4096,131.147
16,0,2,8192,248.736
16,0,2,16384,486.71
16,0,4,16,18.5707
16,0,4,32,18.688
16,0,4,64,18.7947
16,0,4,128,24.2343
16,0,4,256,32.0533
16,0,4,512,39.6373
16,0,4,1024,54.8263
16,0,4,2048,84.3097
16,0,4,4096,142.774
16,0,4,8192,260.971
16,0,4,16384,494.89
16,0,8,16,24.405
16,0,8,32,24.491
16,0,8,64,24.6827
16,0,8,128,33.3973
16,0,8,256,44.8317
16,0,8,512,60.192
16,0,8,1024,90.1973
16,0,8,2048,149.141
16,0,8,4096,266.891
16,0,8,8192,504.374
16,0,8,16384,979.309
16,0,16,16,35.989
16,0,16,32,36.5977
16,0,16,64,37.152
16,0,16,128,51.062
16,0,16,256,67.051
16,0,16,512,96.139
16,0,16,1024,156.811
16,0,16,2048,275.595
16,0,16,4096,513.452
16,0,16,8192,988.279
16,0,16,16384,1960.72
16,0,32,16,58.208
16,0,32,32,59.4887
16,0,32,64,60.544
16,0,32,128,87.3283
16,0,32,256,119.584
16,0,32,512,177.356
16,0,32,1024,301.281
16,0,32,2048,544.834
16,0,32,4096,1066.63
16,0,32,8192,2349.84
16,0,32,16384,4741.94
16,0,64,16,101.782
16,0,64,32,103.947
16,0,64,64,105.856
16,0,64,128,162.603
16,0,64,256,251.062
16,0,64,512,424.183
16,0,64,1024,802.487
16,0,64,2048,1550.97
16,0,64,4096,3080.08
16,0,64,8192,6099.79
16,0,64,16384,12148
16,0,128,16,189.429
16,0,128,32,194.091
16,0,128,64,198.421
16,0,128,128,322.348
16,0,128,256,468.108
16,0,128,512,822.21
