regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,67.492,70.755,68.93,0.4407
pure,2,1,0.5,4.0,0,0,256,1024,640,72.545,89.408,74.721,0.129
pure,2,1,0.5,4.0,0,0,512,2048,1280,97.249,108.481,89.345,-0.7037
pure,2,1,0.5,4.0,0,0,1024,4096,2560,126.114,154.721,113.347,-0.4463
pure,2,1,0.5,4.0,0,0,2048,8192,5120,173.057,224.194,176.706,0.0714
pure,2,1,0.5,4.0,0,0,4096,16384,10240,276.13,368.964,269.857,-0.0676
mixed,2,1,0.5,4.0,16,0,128,512,320,59.713,80.258,78.848,0.9314
mixed,2,1,0.5,4.0,16,0,256,1024,640,91.745,125.601,123.711,0.9442
mixed,2,1,0.5,4.0,16,0,512,2048,1280,148.162,218.018,212.579,0.9221
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,262.275,394.437,390.278,0.9685
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,483.46,747.336,745.929,0.9947
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,926.027,1461.554,1454.194,0.9863
mixed,2,1,0.5,4.0,16,512,128,512,320,80.384,84.0,80.896,0.1416
mixed,2,1,0.5,4.0,16,512,256,1024,640,92.673,126.37,124.577,0.9468
mixed,2,1,0.5,4.0,16,512,512,2048,1280,148.674,216.195,213.346,0.9578
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,262.85,395.269,391.043,0.9681
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,485.03,748.104,745.96,0.9919
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,925.996,1462.227,1454.93,0.9864
mixed,2,1,0.5,4.0,16,1024,128,512,320,125.282,126.147,125.378,0.111
mixed,2,1,0.5,4.0,16,1024,256,1024,640,126.562,129.923,127.426,0.2571
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,149.281,216.514,213.634,0.9572
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,261.507,395.268,390.885,0.9672
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,483.718,748.104,747.116,0.9963
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,927.756,1463.379,1455.634,0.9855
mixed,2,1,0.5,4.0,16,2048,128,512,320,214.691,215.299,214.979,0.4737
mixed,2,1,0.5,4.0,16,2048,256,1024,640,215.426,217.058,216.13,0.4314
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,217.474,219.618,216.899,-0.2682
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,261.316,396.228,390.821,0.9599
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,485.541,749.706,747.594,0.992
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,927.979,1463.154,1455.602,0.9859
mixed,2,1,0.5,4.0,16,4096,128,512,320,392.868,393.03,392.966,0.6049
mixed,2,1,0.5,4.0,16,4096,256,1024,640,393.446,395.494,393.735,0.1411
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,394.725,396.58,394.919,0.1046
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,397.093,398.182,395.654,-1.3214
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,483.782,751.112,745.927,0.9806
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,929.1,1464.594,1456.594,0.9851
mixed,2,1,0.5,4.0,16,8192,128,512,320,745.609,746.44,745.962,0.4248
mixed,2,1,0.5,4.0,16,8192,256,1024,640,746.441,747.558,746.6,0.1423
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,747.692,748.138,747.753,0.1368
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,748.649,749.995,748.009,-0.4755
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,752.17,753.448,752.619,0.3513
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,930.763,1464.18,1456.083,0.9848
mixed,2,1,0.5,4.0,32,0,128,512,320,59.777,80.45,79.009,0.9303
mixed,2,1,0.5,4.0,32,0,256,1024,640,91.713,125.472,123.584,0.9441
mixed,2,1,0.5,4.0,32,0,512,2048,1280,148.003,217.892,212.835,0.9276
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,262.692,394.597,389.699,0.9629
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,484.453,747.559,745.352,0.9916
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,926.091,1461.681,1453.871,0.9854
mixed,2,1,0.5,4.0,32,512,128,512,320,81.376,83.777,82.337,0.4002
mixed,2,1,0.5,4.0,32,512,256,1024,640,92.29,126.017,124.162,0.945
mixed,2,1,0.5,4.0,32,512,512,2048,1280,148.385,216.292,213.058,0.9524
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,262.883,394.886,390.436,0.9663
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,483.526,748.073,745.449,0.9901
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,926.282,1462.03,1454.61,0.9862
mixed,2,1,0.5,4.0,32,1024,128,512,320,126.145,127.746,126.752,0.3791
mixed,2,1,0.5,4.0,32,1024,256,1024,640,128.324,129.571,127.587,-0.591
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,149.058,216.002,213.602,0.9641
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,261.731,395.076,390.948,0.969
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,485.191,748.518,746.566,0.9926
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,926.347,1461.874,1454.287,0.9858
mixed,2,1,0.5,4.0,32,2048,128,512,320,215.459,216.995,216.002,0.3535
mixed,2,1,0.5,4.0,32,2048,256,1024,640,217.282,218.371,217.091,-0.1754
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,218.531,219.651,217.633,-0.8018
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,261.156,396.646,390.693,0.9561
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,484.325,749.417,746.952,0.9907
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,927.5,1463.474,1454.899,0.984
mixed,2,1,0.5,4.0,32,4096,128,512,320,393.732,395.044,394.342,0.4649
mixed,2,1,0.5,4.0,32,4096,256,1024,640,395.397,395.876,394.758,-1.334
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,396.132,396.9,395.525,-0.7904
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,397.251,398.628,396.582,-0.4858
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,483.59,750.473,745.545,0.9815
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,929.003,1464.37,1457.042,0.9863
