layer,sequences,time_us
lm_head,1,398.489
lm_head,2,398.808
lm_head,3,400.92
lm_head,4,401.741
lm_head,5,402.221
lm_head,6,403.086
lm_head,7,403.808
lm_head,8,403.19
lm_head,9,404.406
lm_head,10,404.619
lm_head,11,405.611
lm_head,12,407.008
lm_head,13,407.041
lm_head,14,407.883
lm_head,15,407.69
lm_head,16,410.571
lm_head,20,382.081
lm_head,24,382.797
lm_head,28,384.204
lm_head,32,393.356
lm_head,36,392.577
lm_head,40,393.569
lm_head,44,395.895
lm_head,48,396.897
lm_head,52,397.516
lm_head,56,396.876
lm_head,60,396.214
lm_head,64,396.908
lm_head,80,416.907
lm_head,96,427.519
lm_head,112,416.875
lm_head,128,417.227
lm_head,144,591.768
lm_head,160,595.799
lm_head,176,599.255
lm_head,192,657.077
lm_head,208,657.184
lm_head,224,657.812
lm_head,240,658.89
lm_head,256,659.829
sampler,1,38.4857
sampler,2,39.808
sampler,3,39.8293
sampler,4,42.0057
sampler,5,42.1443
sampler,6,43.0083
sampler,7,44.629
sampler,8,45.5147
sampler,9,47.872
sampler,10,55.4027
sampler,11,56.5337
sampler,12,57.3767
sampler,13,59.659
sampler,14,60.192
sampler,15,61.1843
sampler,16,64.0967
sampler,20,68.7897
sampler,24,73.7707
sampler,28,80.1177
sampler,32,85.206
sampler,36,90.2087
sampler,40,97.4727
sampler,44,103.307
sampler,48,108.928
sampler,52,115.254
sampler,56,123.019
sampler,60,129.889
sampler,64,136.598
sampler,80,170.209
sampler,96,199.841
sampler,112,230.092
sampler,128,261.463
sampler,144,293.506
sampler,160,324.449
sampler,176,355.053
sampler,192,386.391
sampler,208,461.538
sampler,224,483.362
sampler,240,508.909
sampler,256,527.031
